routeId,selectionMode,knowledgePointIds,questionType,contextMode,currentVerifiedMaxQuestionCount,liveAccepted20AcrossSeeds,liveFailureCodes,seed1UniquePromptCount,seed2UniquePromptCount,seed1ItemSetSignature,seed2ItemSetSignature
pgc_r03_g4b_u04_4b04_mixed_473626f19ede,singleKnowledgePoint,kp_g4b_u04_approximation_symbol_reading,mixed,sdg,1,true,,20,20,41363474934fe5ef5fe8,9f89184efc53faf5215c
pgc_r03_g4b_u04_4b04_mixed_7852d15a264d,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_possible_original,mixed,mixed,12,true,,20,20,717fbf993ff802e03417,6e68acdaf243c342a4b3
pgc_r03_g4b_u04_4b04_mixed_8ba934385ecd,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_possible_original,mixed,sdg,12,true,,20,20,717fbf993ff802e03417,6e68acdaf243c342a4b3
pgc_r03_g4b_u04_4b04_mixed_9793ac06b033,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_possible_original,mixed,daily_life,12,true,,20,20,717fbf993ff802e03417,6e68acdaf243c342a4b3
pgc_r03_g4b_u04_4b04_mixed_9b10d25462b6,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_unknown_digit,mixed,sdg,12,true,,20,20,996ffd26e9879dbd3791,486a1a4a68e852f45c96
pgc_r03_g4b_u04_4b04_mixed_a45f804b3a31,singleKnowledgePoint,kp_g4b_u04_approximation_symbol_reading,mixed,daily_life,1,true,,20,20,41363474934fe5ef5fe8,9f89184efc53faf5215c
pgc_r03_g4b_u04_4b04_mixed_a56e4df5f965,singleKnowledgePoint,kp_g4b_u04_approximation_symbol_reading,mixed,mixed,1,true,,20,20,41363474934fe5ef5fe8,9f89184efc53faf5215c
pgc_r03_g4b_u04_4b04_mixed_a623c0374400,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_unknown_digit,mixed,daily_life,12,true,,20,20,996ffd26e9879dbd3791,486a1a4a68e852f45c96
pgc_r03_g4b_u04_4b04_mixed_d81c71e11157,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_unknown_digit,mixed,mixed,12,true,,20,20,996ffd26e9879dbd3791,486a1a4a68e852f45c96
pgc_r03_g4b_u04_4b04_reasoning_4ab8363fe09f,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_unknown_digit,reasoning,sdg,12,true,,20,20,996ffd26e9879dbd3791,486a1a4a68e852f45c96
pgc_r03_g4b_u04_4b04_reasoning_a61c663f2ea9,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_unknown_digit,reasoning,mixed,12,true,,20,20,996ffd26e9879dbd3791,486a1a4a68e852f45c96
pgc_r03_g4b_u04_4b04_reasoning_bf41bdbb6ea8,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_possible_original,reasoning,daily_life,12,true,,20,20,717fbf993ff802e03417,6e68acdaf243c342a4b3
pgc_r03_g4b_u04_4b04_reasoning_e0adbd44db8b,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_possible_original,reasoning,mixed,12,true,,20,20,717fbf993ff802e03417,6e68acdaf243c342a4b3
pgc_r03_g4b_u04_4b04_reasoning_fbdaee663f87,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_unknown_digit,reasoning,daily_life,12,true,,20,20,996ffd26e9879dbd3791,486a1a4a68e852f45c96
pgc_r03_g4b_u04_4b04_reasoning_fed3e04e2432,singleKnowledgePoint,kp_g4b_u04_inverse_rounding_possible_original,reasoning,sdg,12,true,,20,20,717fbf993ff802e03417,6e68acdaf243c342a4b3
