routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,contractGapCodes,liveAcceptanceFailures,accepted20AcrossSeeds,requiresRepair
pgc_r03_g3a_u01_3a01_application_235abe098270,g3a_u01_3a01,sourceUnit,,application,source-unit,,ps_g3a_u01_4digit_compare|ps_g3a_u01_4digit_range_compare_reasoning,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u01_3a01_application_a8acc3289cbe,g3a_u01_3a01,singleKnowledgePoint,kp_g3a_u01_4digit_compare,application,single-form,w01_app_pg_g3a_u01_4digit_compare,ps_g3a_u01_4digit_compare,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u01_3a01_application_9bd2fe76e17c,g3a_u01_3a01,singleKnowledgePoint,kp_g3a_u01_range_reasoning,application,single-form,w01_app_pg_g3a_u01_range_reasoning,ps_g3a_u01_4digit_range_compare_reasoning,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u01_3a01_application_078745248eea,g3a_u01_3a01,mixedKnowledgePointsSameUnit,kp_g3a_u01_4digit_compare|kp_g3a_u01_number_to_chinese|kp_g3a_u01_chinese_to_number|kp_g3a_u01_digit_place_value_decomposition|kp_g3a_u01_place_value_composition|kp_g3a_u01_place_value_unit_conversion|kp_g3a_u01_digit_arrangement_max_min|kp_g3a_u01_range_reasoning,application,mixed-all,w01_app_pg_g3a_u01_4digit_compare|w01_app_pg_g3a_u01_range_reasoning,ps_g3a_u01_4digit_compare|ps_g3a_u01_4digit_range_compare_reasoning,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u02_3a02_application_b99330741f7a,g3a_u02_3a02,sourceUnit,,application,source-unit,,ps_g3a_u02_4digit_add_multi_carry|ps_g3a_u02_4digit_sub_multi_borrow|ps_g3a_u02_word_problem_estimation_add_sub,0,NO_CAPACITY,0,CAPACITY_BELOW_20|ZERO_SAFE_CAPACITY|NON_DIVERSE_QUALITY_STATUS,EMPTY_PROMPT|DUPLICATE_PROMPT,false,true
pgc_r03_g3a_u02_3a02_application_34d1425812ae,g3a_u02_3a02,singleKnowledgePoint,kp_g3a_u02_add_multi_carry,application,single-form,w01_app_pg_g3a_u02_add_multi_carry,ps_g3a_u02_4digit_add_multi_carry,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u02_3a02_application_42650479995e,g3a_u02_3a02,singleKnowledgePoint,kp_g3a_u02_sub_multi_borrow,application,single-form,w01_app_pg_g3a_u02_sub_multi_borrow,ps_g3a_u02_4digit_sub_multi_borrow,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u02_3a02_application_4c6a578caca7,g3a_u02_3a02,singleKnowledgePoint,kp_g3a_u02_word_problem_estimation_add_sub,application,single-form,pg_g3a_u02_word_problem_estimation_add_sub,ps_g3a_u02_word_problem_estimation_add_sub,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u02_3a02_application_b850396d4490,g3a_u02_3a02,mixedKnowledgePointsSameUnit,kp_g3a_u02_add_multi_carry|kp_g3a_u02_sub_multi_borrow|kp_g3a_u02_estimate_nearest_thousand|kp_g3a_u02_word_problem_estimation_add_sub|kp_g3a_u02_add_missing_digit_operand|kp_g3a_u02_sub_missing_digit_operand|kp_g3a_u02_add_missing_digit_equation|kp_g3a_u02_sub_missing_digit_equation|kp_g3a_u02_sub_middle_missing_digit|kp_g3a_u02_continuous_borrow_zero,application,mixed-all,w01_app_pg_g3a_u02_add_multi_carry|w01_app_pg_g3a_u02_sub_multi_borrow|pg_g3a_u02_word_problem_estimation_add_sub,ps_g3a_u02_4digit_add_multi_carry|ps_g3a_u02_4digit_sub_multi_borrow|ps_g3a_u02_word_problem_estimation_add_sub,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u03_3a03_application_ba1d3773b32f,g3a_u03_3a03,sourceUnit,,application,source-unit,,ps_g3a_u03_2digit_by_1digit_carry|ps_g3a_u03_consecutive_multiplication_two_step_word_problem,0,NO_CAPACITY,0,CAPACITY_BELOW_20|ZERO_SAFE_CAPACITY|NON_DIVERSE_QUALITY_STATUS,EMPTY_PROMPT|DUPLICATE_PROMPT,false,true
pgc_r03_g3a_u03_3a03_application_0dcb3707159d,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_2digit_by_1digit_carry,application,single-form,w01_app_pg_g3a_u03_2digit_by_1digit,ps_g3a_u03_2digit_by_1digit_carry,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR|NON_DIVERSE_QUALITY_STATUS,,true,true
pgc_r03_g3a_u03_3a03_application_92e89c0bc858,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_consecutive_multiplication_two_step_word_problem,application,single-form,pg_g3a_u03_consecutive_multiplication_two_step_word_problem,ps_g3a_u03_consecutive_multiplication_two_step_word_problem,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u03_3a03_application_1d6449ce23c0,g3a_u03_3a03,mixedKnowledgePointsSameUnit,kp_g3a_u03_2digit_by_1digit_carry|kp_g3a_u03_10_multiple_by_1digit|kp_g3a_u03_3digit_by_1digit|kp_g3a_u03_consecutive_multiplication_two_step|kp_g3a_u03_consecutive_multiplication_two_step_word_problem|kp_g3a_u03_3digit_zero_middle_by_1digit|kp_g3a_u03_multiplication_missing_digit_inference,application,mixed-all,w01_app_pg_g3a_u03_2digit_by_1digit|pg_g3a_u03_consecutive_multiplication_two_step_word_problem,ps_g3a_u03_2digit_by_1digit_carry|ps_g3a_u03_consecutive_multiplication_two_step_word_problem,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u06_3a06_application_4da5b561b50f,g3a_u06_3a06,sourceUnit,,application,source-unit,,ps_g3a_u06_exact_division_check,0,NO_CAPACITY,0,CAPACITY_BELOW_20|ZERO_SAFE_CAPACITY|NON_DIVERSE_QUALITY_STATUS,EMPTY_PROMPT|DUPLICATE_PROMPT,false,true
pgc_r03_g3a_u06_3a06_application_aec8a16babd8,g3a_u06_3a06,singleKnowledgePoint,kp_g3a_u06_exact_division_check,application,single-form,w01_app_pg_g3a_u06_exact_division,ps_g3a_u06_exact_division_check,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3a_u06_3a06_application_508aaf9f1bbf,g3a_u06_3a06,mixedKnowledgePointsSameUnit,kp_g3a_u06_exact_division_check|kp_g3a_u06_divisibility_exact_check|kp_g3a_u06_division_with_remainder|kp_g3a_u06_quotative_division_packaging|kp_g3a_u06_partitive_division_equal_sharing|kp_g3a_u06_parity_range_missing_digit,application,mixed-all,w01_app_pg_g3a_u06_exact_division,ps_g3a_u06_exact_division_check,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u01_3b01_application_807998db5d0e,g3b_u01_3b01,sourceUnit,,application,source-unit,,ps_g3b_u01_2digit_by_1digit_regroup_tens|ps_g3b_u01_wp_remainder_packaging_leftover|ps_g3b_u01_wp_remainder_calendar_weeks_days|ps_g3b_u01_wp_two_step_divide_then_add|ps_g3b_u01_wp_two_step_add_then_divide|ps_g3b_u01_wp_two_step_divide_then_subtract|ps_g3b_u01_wp_two_step_subtract_then_divide,0,NO_CAPACITY,0,CAPACITY_BELOW_20|ZERO_SAFE_CAPACITY|NON_DIVERSE_QUALITY_STATUS,EMPTY_PROMPT|DUPLICATE_PROMPT,false,true
pgc_r03_g3b_u01_3b01_application_0bd5235fd4ec,g3b_u01_3b01,singleKnowledgePoint,kp_g3b_u01_2digit_division_place_value_cases,application,single-form,w01_app_pg_g3b_u01_place_value_division,ps_g3b_u01_2digit_by_1digit_regroup_tens,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u01_3b01_application_e0e16ad3307e,g3b_u01_3b01,singleKnowledgePoint,kp_g3b_u01_wp_division_with_remainder,application,single-form,pg_g3b_u01_wp_division_with_remainder,ps_g3b_u01_wp_remainder_packaging_leftover|ps_g3b_u01_wp_remainder_calendar_weeks_days,11,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20,,true,true
pgc_r03_g3b_u01_3b01_application_1a8786fb5af9,g3b_u01_3b01,singleKnowledgePoint,kp_g3b_u01_wp_two_step_division,application,single-form,pg_g3b_u01_wp_two_step_division,ps_g3b_u01_wp_two_step_divide_then_add|ps_g3b_u01_wp_two_step_add_then_divide|ps_g3b_u01_wp_two_step_divide_then_subtract|ps_g3b_u01_wp_two_step_subtract_then_divide,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
pgc_r03_g3b_u01_3b01_application_5ed5771357cb,g3b_u01_3b01,mixedKnowledgePointsSameUnit,kp_g3b_u01_2digit_division_place_value_cases|kp_g3b_u01_3digit_by_1digit_regroup_hundreds|kp_g3b_u01_3digit_division_place_value_cases|kp_g3b_u01_quotient_zero_cases|kp_g3b_u01_division_with_remainder|kp_g3b_u01_wp_partitive_division|kp_g3b_u01_wp_quotative_division|kp_g3b_u01_wp_division_with_remainder|kp_g3b_u01_wp_remainder_interpretation|kp_g3b_u01_wp_two_step_division,application,mixed-all,w01_app_pg_g3b_u01_place_value_division|pg_g3b_u01_wp_division_with_remainder|pg_g3b_u01_wp_two_step_division,ps_g3b_u01_2digit_by_1digit_regroup_tens|ps_g3b_u01_wp_remainder_packaging_leftover|ps_g3b_u01_wp_remainder_calendar_weeks_days|ps_g3b_u01_wp_two_step_divide_then_add|ps_g3b_u01_wp_two_step_add_then_divide|ps_g3b_u01_wp_two_step_divide_then_subtract|ps_g3b_u01_wp_two_step_subtract_then_divide,20,DIVERSE_PARAMETER_GENERATOR,10,,,true,false
