routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,r04GapCodes
pgc_r03_g3a_u03_3a03_numeric_7a21b824e19a,g3a_u03_3a03,sourceUnit,,numeric,source-unit,,ps_g3a_u03_2digit_by_1digit_carry|ps_g3a_u03_10_multiple_by_1digit|ps_g3a_u03_3digit_by_1digit|ps_g3a_u03_consecutive_multiplication_two_step|ps_g3a_u03_3digit_zero_middle_by_1digit|ps_g3a_u03_multiplication_missing_digit_inference,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_b494aff1a84e,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_2digit_by_1digit_carry,numeric,single-form,pg_g3a_u03_2digit_by_1digit_carry,ps_g3a_u03_2digit_by_1digit_carry,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_d183d226699e,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_10_multiple_by_1digit,numeric,single-form,pg_g3a_u03_10_multiple_by_1digit,ps_g3a_u03_10_multiple_by_1digit,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_4bdcc0a95054,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_3digit_by_1digit,numeric,single-form,pg_g3a_u03_3digit_by_1digit,ps_g3a_u03_3digit_by_1digit,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_18be7bd013fd,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_consecutive_multiplication_two_step,numeric,single-form,pg_g3a_u03_consecutive_multiplication_two_step,ps_g3a_u03_consecutive_multiplication_two_step,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_f2aab6882aa2,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_3digit_zero_middle_by_1digit,numeric,single-form,pg_g3a_u03_3digit_zero_middle_by_1digit,ps_g3a_u03_3digit_zero_middle_by_1digit,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_d90620ef7fae,g3a_u03_3a03,singleKnowledgePoint,kp_g3a_u03_multiplication_missing_digit_inference,numeric,single-form,pg_g3a_u03_multiplication_missing_digit_inference,ps_g3a_u03_multiplication_missing_digit_inference,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u03_3a03_numeric_91830b22dc92,g3a_u03_3a03,mixedKnowledgePointsSameUnit,kp_g3a_u03_2digit_by_1digit_carry|kp_g3a_u03_10_multiple_by_1digit|kp_g3a_u03_3digit_by_1digit|kp_g3a_u03_consecutive_multiplication_two_step|kp_g3a_u03_consecutive_multiplication_two_step_word_problem|kp_g3a_u03_3digit_zero_middle_by_1digit|kp_g3a_u03_multiplication_missing_digit_inference,numeric,mixed-all,pg_g3a_u03_2digit_by_1digit_carry|pg_g3a_u03_10_multiple_by_1digit|pg_g3a_u03_3digit_by_1digit|pg_g3a_u03_consecutive_multiplication_two_step|pg_g3a_u03_3digit_zero_middle_by_1digit|pg_g3a_u03_multiplication_missing_digit_inference,ps_g3a_u03_2digit_by_1digit_carry|ps_g3a_u03_10_multiple_by_1digit|ps_g3a_u03_3digit_by_1digit|ps_g3a_u03_consecutive_multiplication_two_step|ps_g3a_u03_3digit_zero_middle_by_1digit|ps_g3a_u03_multiplication_missing_digit_inference,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u06_3a06_numeric_c825c93cc63f,g3a_u06_3a06,singleKnowledgePoint,kp_g3a_u06_division_with_remainder,numeric,single-form,pg_g3a_u06_division_with_remainder,ps_g3a_u06_division_with_remainder,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
pgc_r03_g3a_u06_3a06_numeric_2e2053269a6e,g3a_u06_3a06,singleKnowledgePoint,kp_g3a_u06_quotative_division_packaging,numeric,single-form,pg_g3a_u06_quotative_division_packaging,ps_g3a_u06_quotative_division_packaging,20,FIXTURE_SELECTOR,1,FIXTURE_SELECTOR
