capabilityId,sourceId,unitCode,unitTitle,grade,semester,knowledgePointId,knowledgePointName,questionType,effectiveQuestionType,questionForm,questionFormLabel,patternGroupId,basePatternGroupId,patternSpecId,depthModes,contextModes,selectionModes,surfaceId,surfaceRouteId,surfaceStatus,generatorConsumer,validatorConsumer,contextLineage,htmlRouteId,pdfRouteId,defaultQuestionCount,declaredUiMaxQuestionCount,verifiedMaxQuestionCount,capacityEvidence,evidenceLevel,compatibilityPolicy,compatibilityStatus,normalizationEvidence
pgc_g3a_u01_3a01_0a5cd1fed5709710,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_place_value_unit_conversion,四位數位值換算：十、百、千、金錢,NUMERIC,NUMERIC,四位數位值換算：十、百、千、金錢,四位數位值換算：十、百、千、金錢,pg_g3a_u01_place_value_unit_conversion,pg_g3a_u01_place_value_unit_conversion,ps_g3a_u01_hundreds_to_thousands_conversion,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_0e53f3bf5f4f4038,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_digit_arrangement_max_min,指定數字組成最大 / 最小四位數,NUMERIC,NUMERIC,指定數字組成最大 / 最小四位數,指定數字組成最大 / 最小四位數,pg_g3a_u01_digit_arrangement_max_min,pg_g3a_u01_digit_arrangement_max_min,ps_g3a_u01_digit_arrangement_max_min_pair,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,PIXEL,surface.pixel.beta,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_0f2b47ade7c198c2,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_place_value_unit_conversion,四位數位值換算：十、百、千、金錢,NUMERIC,NUMERIC,四位數位值換算：十、百、千、金錢,四位數位值換算：十、百、千、金錢,pg_g3a_u01_place_value_unit_conversion,pg_g3a_u01_place_value_unit_conversion,ps_g3a_u01_tens_to_hundreds_conversion,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_0fb49de53d30ed75,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_place_value_composition,四位數位值組合,NUMERIC,NUMERIC,四位數位值組合,四位數位值組合,pg_g3a_u01_place_value_composition,pg_g3a_u01_place_value_composition,ps_g3a_u01_place_value_standard_composition,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_1062fd5dbcaf3489,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_number_to_chinese,四位數數字轉中文數字,NUMERIC,NUMERIC,四位數數字轉中文數字,四位數數字轉中文數字,pg_g3a_u01_number_to_chinese,pg_g3a_u01_number_to_chinese,ps_g3a_u01_4digit_number_to_chinese_with_zero,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_1ebeed141ac4d441,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_digit_place_value_decomposition,四位數位值分解與位值判讀,NUMERIC,NUMERIC,四位數位值分解與位值判讀,四位數位值分解與位值判讀,pg_g3a_u01_digit_place_value_decomposition,pg_g3a_u01_digit_place_value_decomposition,ps_g3a_u01_4digit_same_digit_different_place,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,FALLBACK_404,surface.classic.404_fallback,PUBLIC_DEPRECATED,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_2195d128fdb48d47,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_place_value_composition,四位數位值組合,NUMERIC,NUMERIC,四位數位值組合,四位數位值組合,pg_g3a_u01_place_value_composition,pg_g3a_u01_place_value_composition,ps_g3a_u01_place_value_partial_composition,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_231096755a9ac19c,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_place_value_unit_conversion,四位數位值換算：十、百、千、金錢,NUMERIC,NUMERIC,四位數位值換算：十、百、千、金錢,四位數位值換算：十、百、千、金錢,pg_g3a_u01_place_value_unit_conversion,pg_g3a_u01_place_value_unit_conversion,ps_g3a_u01_hundreds_to_thousands_conversion,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,FALLBACK_404,surface.classic.404_fallback,PUBLIC_DEPRECATED,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_24507468faaad5df,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_digit_place_value_decomposition,四位數位值分解與位值判讀,NUMERIC,NUMERIC,四位數位值分解與位值判讀,四位數位值分解與位值判讀,pg_g3a_u01_digit_place_value_decomposition,pg_g3a_u01_digit_place_value_decomposition,ps_g3a_u01_4digit_digit_value_identification,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,FALLBACK_404,surface.classic.404_fallback,PUBLIC_DEPRECATED,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_25f7719315b99e5d,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_4digit_compare,四位數比大小,APPLICATION,APPLICATION,application_word_problem,全域情境應用題,w01_app_pg_g3a_u01_4digit_compare,pg_g3a_u01_4digit_compare,ps_g3a_u01_4digit_compare,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,PIXEL,surface.pixel.beta,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,POSTG-APP-W01-A06E,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PRODUCTION_ADMITTED_OR_PUBLIC_D0,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_29119be241fd8759,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_number_to_chinese,四位數數字轉中文數字,NUMERIC,NUMERIC,四位數數字轉中文數字,四位數數字轉中文數字,pg_g3a_u01_number_to_chinese,pg_g3a_u01_number_to_chinese,ps_g3a_u01_4digit_number_to_chinese_basic,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,PIXEL,surface.pixel.beta,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_2b705af6a019bd27,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_chinese_to_number,中文數字轉四位數,NUMERIC,NUMERIC,中文數字轉四位數,中文數字轉四位數,pg_g3a_u01_chinese_to_number,pg_g3a_u01_chinese_to_number,ps_g3a_u01_chinese_to_4digit_number_basic,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_2dd4cd24c63afb42,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_place_value_composition,四位數位值組合,NUMERIC,NUMERIC,四位數位值組合,四位數位值組合,pg_g3a_u01_place_value_composition,pg_g3a_u01_place_value_composition,ps_g3a_u01_place_value_partial_composition,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,FALLBACK_404,surface.classic.404_fallback,PUBLIC_DEPRECATED,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_2e8bbf5b513f576e,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_number_to_chinese,四位數數字轉中文數字,NUMERIC,NUMERIC,四位數數字轉中文數字,四位數數字轉中文數字,pg_g3a_u01_number_to_chinese,pg_g3a_u01_number_to_chinese,ps_g3a_u01_4digit_number_to_chinese_basic,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,FALLBACK_404,surface.classic.404_fallback,PUBLIC_DEPRECATED,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
pgc_g3a_u01_3a01_368f5b93b941503b,g3a_u01_3a01,3A-U01,10000以內的數,3,upper,kp_g3a_u01_digit_arrangement_max_min,指定數字組成最大 / 最小四位數,NUMERIC,NUMERIC,指定數字組成最大 / 最小四位數,指定數字組成最大 / 最小四位數,pg_g3a_u01_digit_arrangement_max_min,pg_g3a_u01_digit_arrangement_max_min,ps_g3a_u01_digit_arrangement_max_min_pair,NOT_APPLICABLE,NOT_APPLICABLE,sourceUnit|singleKnowledgePoint|mixedKnowledgePointsSameUnit,CLASSIC,surface.classic.index,PUBLIC_ACTIVE,site/modules/curriculum/batch-a/batch-a-browser-generator-p03f13.js,site/modules/curriculum/batch-a/batch-a-browser-validator-p03f13.js,NOT_APPLICABLE,renderer.preview_html,renderer.iframe_print,20,200,,UNVERIFIED_UNTIL_PGC_R03,PUBLIC_VISIBLE_RUNTIME_EVIDENCE,fifteen_unit_public_runtime_admission,ACCOUNTED_PENDING_PGC_R02_INTERSECTION_NORMALIZATION,
