queuePosition,routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,depthMode,contextMode,legalRouteStatus,verifiedMaxQuestionCount,capacityStatus,qualityStatus,gapCodes,publiclyExposed,bindingIds
123,pgc_r03_g3b_u04_3b04_pbl_e1916a90faec,g3b_u04_3b04,sourceUnit,,pbl,,,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g3b_u04_3b04::sourceUnit::CLASSIC::pbl|g3b_u04_3b04::sourceUnit::FALLBACK_404::pbl|g3b_u04_3b04::sourceUnit::PIXEL::pbl
124,pgc_r03_g4a_u08_4a08_pbl_cf1460671cf4,g4a_u08_4a08,sourceUnit,,pbl,,,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g4a_u08_4a08::sourceUnit::CLASSIC::pbl|g4a_u08_4a08::sourceUnit::FALLBACK_404::pbl|g4a_u08_4a08::sourceUnit::PIXEL::pbl
,pgc_r03_g5a_u08_5a08_mixed_2be05cea1609,g5a_u08_5a08,sourceUnit,,mixed,mixed,mixed,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_fdfe709623a6,g5a_u08_5a08,sourceUnit,,mixed,mixed,daily_life,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_4e31e70befa7,g5a_u08_5a08,sourceUnit,,mixed,mixed,sdg,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_8e2cccca7fbc,g5a_u08_5a08,sourceUnit,,mixed,N,mixed,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_ad5565765ff7,g5a_u08_5a08,sourceUnit,,mixed,N,daily_life,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_600ca7d5b4f8,g5a_u08_5a08,sourceUnit,,mixed,N,sdg,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_6679203720d1,g5a_u08_5a08,sourceUnit,,mixed,N_PLUS_1,mixed,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_98a4786633b5,g5a_u08_5a08,sourceUnit,,mixed,N_PLUS_1,daily_life,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_mixed_188cc49949da,g5a_u08_5a08,sourceUnit,,mixed,N_PLUS_1,sdg,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::mixed|g5a_u08_5a08::sourceUnit::FALLBACK_404::mixed|g5a_u08_5a08::sourceUnit::PIXEL::mixed
,pgc_r03_g5a_u08_5a08_reasoning_64682981cb68,g5a_u08_5a08,sourceUnit,,reasoning,mixed,mixed,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_32b03947e023,g5a_u08_5a08,sourceUnit,,reasoning,mixed,daily_life,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_a8d353fac11b,g5a_u08_5a08,sourceUnit,,reasoning,mixed,sdg,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_d0b0417c2320,g5a_u08_5a08,sourceUnit,,reasoning,N,mixed,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_83697a9110fa,g5a_u08_5a08,sourceUnit,,reasoning,N,daily_life,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_5bea4df1bf09,g5a_u08_5a08,sourceUnit,,reasoning,N,sdg,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_18bd1e9c5122,g5a_u08_5a08,sourceUnit,,reasoning,N_PLUS_1,mixed,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_85043ca27147,g5a_u08_5a08,sourceUnit,,reasoning,N_PLUS_1,daily_life,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
,pgc_r03_g5a_u08_5a08_reasoning_421fa305f23b,g5a_u08_5a08,sourceUnit,,reasoning,N_PLUS_1,sdg,LEGAL,20,VERIFIED_20,DIVERSE_PARAMETER_GENERATOR,,true,g5a_u08_5a08::sourceUnit::CLASSIC::reasoning|g5a_u08_5a08::sourceUnit::FALLBACK_404::reasoning|g5a_u08_5a08::sourceUnit::PIXEL::reasoning
142,pgc_r03_g5a_u08_5a08_pbl_24fbddf9988e,g5a_u08_5a08,sourceUnit,,pbl,mixed,mixed,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
145,pgc_r03_g5a_u08_5a08_pbl_d273c0cebde5,g5a_u08_5a08,sourceUnit,,pbl,mixed,daily_life,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
141,pgc_r03_g5a_u08_5a08_pbl_1f95f7aef8de,g5a_u08_5a08,sourceUnit,,pbl,mixed,sdg,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
144,pgc_r03_g5a_u08_5a08_pbl_cd62dd4526e7,g5a_u08_5a08,sourceUnit,,pbl,N,mixed,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
140,pgc_r03_g5a_u08_5a08_pbl_1f52a5f057d2,g5a_u08_5a08,sourceUnit,,pbl,N,daily_life,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
147,pgc_r03_g5a_u08_5a08_pbl_e2f36fc39905,g5a_u08_5a08,sourceUnit,,pbl,N,sdg,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
148,pgc_r03_g5a_u08_5a08_pbl_f7dfd39952c2,g5a_u08_5a08,sourceUnit,,pbl,N_PLUS_1,mixed,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
146,pgc_r03_g5a_u08_5a08_pbl_de316241da32,g5a_u08_5a08,sourceUnit,,pbl,N_PLUS_1,daily_life,LEGAL,20,VERIFIED_20,FIXTURE_SELECTOR,CROSS_SEED_ITEM_DIVERSITY_DEFICIENT,true,g5a_u08_5a08::sourceUnit::CLASSIC::pbl|g5a_u08_5a08::sourceUnit::FALLBACK_404::pbl|g5a_u08_5a08::sourceUnit::PIXEL::pbl
